name,weekly_gross_eur,annual_gross_eur,adjusted_gross_eur,position,age,country,club,season,league,verified,bonus_gross_eur,signed,expiration,years,total_gross_eur,release_eur,status,position_detail,active
Sergi Darder,"€ 33,654","€ 1,750,000","€ 1,750,000",M,28,Spain,Espanyol,2021-2022,la-liga,,,,,,,,,,
Hugo Mallo,"€ 33,654","€ 1,750,000","€ 1,750,000",D,30,Spain,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
Martin Zubimendi,"€ 33,077","€ 1,720,000","€ 1,720,000",M,23,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Santi Mina,"€ 32,885","€ 1,710,000","€ 1,710,000",F,26,Spain,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
William Carvalho,"€ 32,692","€ 1,700,000","€ 1,700,000",M,29,Portugal,Real Betis,2021-2022,la-liga,,,,,,,,,,
Alex Berenguer,"€ 32,692","€ 1,700,000","€ 1,700,000",F,26,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Lucas Ocampos,"€ 32,692","€ 1,700,000","€ 1,700,000",F,27,Argentina,Sevilla,2021-2022,la-liga,,,,,,,,,,
Guido Rodriguez,"€ 32,692","€ 1,700,000","€ 1,700,000",M,27,Argentina,Real Betis,2021-2022,la-liga,,,,,,,,,,
Unai Nunez,"€ 32,692","€ 1,700,000","€ 1,700,000",D,25,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Alex Blanco,"€ 32,308","€ 1,680,000","€ 1,680,000",F,22,Spain,Valencia,2021-2022,la-liga,,,,,,,,,,
Cristiano Piccini,"€ 32,115","€ 1,670,000","€ 1,670,000",D,28,Italy,Valencia,2021-2022,la-liga,,,,,,,,,,
Joris Gnagnon,"€ 31,346","€ 1,630,000","€ 1,630,000",D,24,France,Sevilla,2021-2022,la-liga,,,,,,,,,,
Hugo Guillamon,"€ 31,154","€ 1,620,000","€ 1,620,000",M,22,Spain,Valencia,2021-2022,la-liga,,,,,,,,,,
Ilaix Moriba,"€ 31,154","€ 1,620,000","€ 1,620,000",M,19,Guinea,Valencia,2021-2022,la-liga,,,,,,,,,,
Joseph Aidoo,"€ 30,769","€ 1,600,000","€ 1,600,000",D,26,Ghana,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
Sergio Canales,"€ 30,769","€ 1,600,000","€ 1,600,000",F,30,Spain,Real Betis,2021-2022,la-liga,,,,,,,,,,
Aissa Mandi,"€ 30,769","€ 1,600,000","€ 1,600,000",D,30,Algeria,Villarreal,2021-2022,la-liga,,,,,,,,,,
Claudio Bravo,"€ 30,769","€ 1,600,000","€ 1,600,000",K,38,Chile,Real Betis,2021-2022,la-liga,,,,,,,,,,
Borja Iglesias,"€ 30,769","€ 1,600,000","€ 1,600,000",F,29,Spain,Real Betis,2021-2022,la-liga,,,,,,,,,,
Jose Campana,"€ 30,769","€ 1,600,000","€ 1,600,000",M,28,Spain,Levante,2021-2022,la-liga,,,,,,,,,,
Jokin Ezkieta,"€ 30,000","€ 1,560,000","€ 1,560,000",K,25,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Francisco Montero,"€ 30,000","€ 1,560,000","€ 1,560,000",D,22,Spain,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Jorge Molina,"€ 29,615","€ 1,540,000","€ 1,540,000",F,39,Spain,Granada,2021-2022,la-liga,,,,,,,,,,
Gonzalo Villar,"€ 29,615","€ 1,540,000","€ 1,540,000",M,23,Spain,Getafe,2021-2022,la-liga,,,,,,,,,,
Mauro Arambarri,"€ 29,423","€ 1,530,000","€ 1,530,000",M,26,Uruguay,Getafe,2021-2022,la-liga,,,,,,,,,,
David Soria,"€ 29,038","€ 1,510,000","€ 1,510,000",K,28,Spain,Getafe,2021-2022,la-liga,,,,,,,,,,
Yunus Musah,"€ 28,846","€ 1,500,000","€ 1,500,000",F,19,United States,Valencia,2021-2022,la-liga,,,,,,,,,,
Chimy Avila,"€ 28,846","€ 1,500,000","€ 1,500,000",F,27,Argentina,Osasuna,2021-2022,la-liga,,,,,,,,,,
Inigo Lekue,"€ 28,846","€ 1,500,000","€ 1,500,000",D,28,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Javier Pastore,"€ 28,846","€ 1,500,000","€ 1,500,000",F,32,Argentina,Elche,2021-2022,la-liga,,,,,,,,,,
Unai Vencedor,"€ 28,846","€ 1,500,000","€ 1,500,000",M,21,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Florian Lejeune,"€ 28,846","€ 1,500,000","€ 1,500,000",D,30,France,Alaves,2021-2022,la-liga,,,,,,,,,,
Victor Ruiz,"€ 28,846","€ 1,500,000","€ 1,500,000",D,33,Spain,Real Betis,2021-2022,la-liga,,,,,,,,,,
Joaquin,"€ 28,846","€ 1,500,000","€ 1,500,000",F,40,Spain,Real Betis,2021-2022,la-liga,,,,,,,,,,
Maxi Gomez,"€ 28,846","€ 1,500,000","€ 1,500,000",F,25,Uruguay,Valencia,2021-2022,la-liga,,,,,,,,,,
Oussama Idrissi,"€ 28,462","€ 1,480,000","€ 1,480,000",F,25,Morocco,Sevilla,2021-2022,la-liga,,,,,,,,,,
Oussama Idrissi,"€ 28,462","€ 1,480,000","€ 1,480,000",F,25,Morocco,Cadiz,2021-2022,la-liga,,,,,,,,,,
Alex Collado,"€ 27,885","€ 1,450,000","€ 1,450,000",F,22,Spain,Granada,2021-2022,la-liga,,,,,,,,,,
Cristian Rivero,"€ 27,885","€ 1,450,000","€ 1,450,000",K,23,Spain,Valencia,2021-2022,la-liga,,,,,,,,,,
Alex Collado,"€ 27,885","€ 1,450,000","€ 1,450,000",F,22,Spain,Barcelona,2021-2022,la-liga,,,,,,,,,,
Alvaro Garcia,"€ 27,885","€ 1,450,000","€ 1,450,000",F,29,Spain,Rayo Vallecano,2021-2022,la-liga,,,,,,,,,,
Tomas Pina,"€ 27,500","€ 1,430,000","€ 1,430,000",M,34,Spain,Alaves,2021-2022,la-liga,,,,,,,,,,
Andres Guardado,"€ 26,923","€ 1,400,000","€ 1,400,000",M,35,Mexico,Real Betis,2021-2022,la-liga,,,,,,,,,,
Alberto Moreno,"€ 26,923","€ 1,400,000","€ 1,400,000",D,29,Spain,Villarreal,2021-2022,la-liga,,,,,,,,,,
Gonzalo Montiel,"€ 26,538","€ 1,380,000","€ 1,380,000",D,25,Argentina,Sevilla,2021-2022,la-liga,,,,,,,,,,
Rodrigo Battaglia,"€ 26,538","€ 1,380,000","€ 1,380,000",M,30,Argentina,Mallorca,2021-2022,la-liga,,,,,,,,,,
Darwin Machis,"€ 26,154","€ 1,360,000","€ 1,360,000",F,28,Venezuela,Granada,2021-2022,la-liga,,,,,,,,,,
Brais Mendez,"€ 25,962","€ 1,350,000","€ 1,350,000",F,25,Spain,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
Yeremi Pino,"€ 25,962","€ 1,350,000","€ 1,350,000",F,19,Spain,Villarreal,2021-2022,la-liga,,,,,,,,,,
Florentino,"€ 25,385","€ 1,320,000","€ 1,320,000",M,22,Portugal,Getafe,2021-2022,la-liga,,,,,,,,,,
Lei Wu,"€ 25,192","€ 1,310,000","€ 1,310,000",F,30,China,Espanyol,2021-2022,la-liga,,,,,,,,,,
Manu Morlanes,"€ 25,192","€ 1,310,000","€ 1,310,000",M,23,Spain,Espanyol,2021-2022,la-liga,,,,,,,,,,
Sergio Escudero,"€ 25,000","€ 1,300,000","€ 1,300,000",D,32,Spain,Granada,2021-2022,la-liga,,,,,,,,,,
Juan Miranda,"€ 25,000","€ 1,300,000","€ 1,300,000",D,22,Spain,Real Betis,2021-2022,la-liga,,,,,,,,,,
Alvaro Negredo,"€ 24,808","€ 1,290,000","€ 1,290,000",F,36,Spain,Cadiz,2021-2022,la-liga,,,,,,,,,,
Domingos Duarte,"€ 24,231","€ 1,260,000","€ 1,260,000",D,26,Portugal,Granada,2021-2022,la-liga,,,,,,,,,,
Marko Dmitrovic,"€ 24,231","€ 1,260,000","€ 1,260,000",K,30,Serbia,Sevilla,2021-2022,la-liga,,,,,,,,,,
Joselu,"€ 24,038","€ 1,250,000","€ 1,250,000",F,31,Spain,Alaves,2021-2022,la-liga,,,,,,,,,,
Daniel Wass,"€ 24,038","€ 1,250,000","€ 1,250,000",D,32,Denmark,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Guido Carrillo,"€ 23,654","€ 1,230,000","€ 1,230,000",F,30,Argentina,Elche,2021-2022,la-liga,,,,,,,,,,
Ibrahim Amadou,"€ 23,462","€ 1,220,000","€ 1,220,000",M,28,France,Sevilla,2021-2022,la-liga,,,,,,,,,,
Sergi Gomez,"€ 23,077","€ 1,200,000","€ 1,200,000",D,29,Spain,Espanyol,2021-2022,la-liga,,,,,,,,,,
Ander Capa,"€ 23,077","€ 1,200,000","€ 1,200,000",D,29,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Luuk de Jong,"€ 23,077","€ 1,200,000","€ 1,200,000",F,31,Netherlands,Barcelona,2021-2022,la-liga,,,,,,,,,,
Adrian Embarba,"€ 23,077","€ 1,200,000","€ 1,200,000",F,29,Spain,Espanyol,2021-2022,la-liga,,,,,,,,,,
Juanmi,"€ 23,077","€ 1,200,000","€ 1,200,000",F,28,Spain,Real Betis,2021-2022,la-liga,,,,,,,,,,
Diego Rico,"€ 23,077","€ 1,200,000","€ 1,200,000",D,28,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Manu Trigueros,"€ 23,077","€ 1,200,000","€ 1,200,000",M,30,Spain,Villarreal,2021-2022,la-liga,,,,,,,,,,
Omar Alderete,"€ 23,077","€ 1,200,000","€ 1,200,000",D,25,Paraguay,Valencia,2021-2022,la-liga,,,,,,,,,,
Falcao,"€ 23,077","€ 1,200,000","€ 1,200,000",F,35,Colombia,Rayo Vallecano,2021-2022,la-liga,,,,,,,,,,
Edgar Gonzalez,"€ 23,077","€ 1,200,000","€ 1,200,000",D,24,Spain,Real Betis,2021-2022,la-liga,,,,,,,,,,
Igor Zubeldia,"€ 23,077","€ 1,200,000","€ 1,200,000",D,24,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Oscar Rodriguez,"€ 23,077","€ 1,200,000","€ 1,200,000",F,23,Spain,Getafe,2021-2022,la-liga,,,,,,,,,,
Franco Cervi,"€ 23,077","€ 1,200,000","€ 1,200,000",F,27,Argentina,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
Shkodran Mustafi,"€ 23,077","€ 1,200,000","€ 1,200,000",D,29,Germany,Levante,2021-2022,la-liga,,,,,,,,,,
Manu Garcia,"€ 22,692","€ 1,180,000","€ 1,180,000",F,24,Spain,Alaves,2021-2022,la-liga,,,,,,,,,,
Landry Dimata,"€ 22,692","€ 1,180,000","€ 1,180,000",F,24,Belgium,Espanyol,2021-2022,la-liga,,,,,,,,,,
Serge Aurier,"€ 22,500","€ 1,170,000","€ 1,170,000",D,29,Cote d'Ivoire,Villarreal,2021-2022,la-liga,,,,,,,,,,
Oscar Rodriguez,"€ 22,115","€ 1,150,000","€ 1,150,000",F,23,Spain,Sevilla,2021-2022,la-liga,,,,,,,,,,
Ruben Garcia,"€ 22,115","€ 1,150,000","€ 1,150,000",F,28,Spain,Osasuna,2021-2022,la-liga,,,,,,,,,,
Oscar Mingueza,"€ 22,115","€ 1,150,000","€ 1,150,000",D,22,Spain,Barcelona,2021-2022,la-liga,,,,,,,,,,
Alexander Isak,"€ 21,538","€ 1,120,000","€ 1,120,000",F,22,Sweden,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Facundo Pellistri,"€ 21,346","€ 1,110,000","€ 1,110,000",F,20,Uruguay,Alaves,2021-2022,la-liga,,,,,,,,,,
Javi Ontiveros,"€ 21,346","€ 1,110,000","€ 1,110,000",F,23,Spain,Osasuna,2021-2022,la-liga,,,,,,,,,,
Yangel Herrera,"€ 21,154","€ 1,100,000","€ 1,100,000",M,24,Venezuela,Espanyol,2021-2022,la-liga,,,,,,,,,,
Dani Vivian,"€ 21,154","€ 1,100,000","€ 1,100,000",D,22,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Samuel Chukwueze,"€ 21,154","€ 1,100,000","€ 1,100,000",F,22,Nigeria,Villarreal,2021-2022,la-liga,,,,,,,,,,
Eray Comert,"€ 21,154","€ 1,100,000","€ 1,100,000",D,23,Switzerland,Valencia,2021-2022,la-liga,,,,,,,,,,
Jules Kounde,"€ 21,154","€ 1,100,000","€ 1,100,000",D,23,France,Sevilla,2021-2022,la-liga,,,,,,,,,,
Carlos Bacca,"€ 20,769","€ 1,080,000","€ 1,080,000",F,35,Colombia,Granada,2021-2022,la-liga,,,,,,,,,,
Lucas Perez,"€ 20,769","€ 1,080,000","€ 1,080,000",F,33,Spain,Cadiz,2021-2022,la-liga,,,,,,,,,,
Ludwig Augustinsson,"€ 20,577","€ 1,070,000","€ 1,070,000",D,27,Sweden,Sevilla,2021-2022,la-liga,,,,,,,,,,
Luis Milla,"€ 20,577","€ 1,070,000","€ 1,070,000",M,27,Spain,Granada,2021-2022,la-liga,,,,,,,,,,
Ruben Pena,"€ 20,192","€ 1,050,000","€ 1,050,000",D,30,Spain,Villarreal,2021-2022,la-liga,,,,,,,,,,
Jason,"€ 20,192","€ 1,050,000","€ 1,050,000",F,27,Spain,Alaves,2021-2022,la-liga,,,,,,,,,,
Jorge Cuenca,"€ 20,192","€ 1,050,000","€ 1,050,000",D,22,Spain,Getafe,2021-2022,la-liga,,,,,,,,,,
Pere Pons,"€ 20,192","€ 1,050,000","€ 1,050,000",M,28,Spain,Alaves,2021-2022,la-liga,,,,,,,,,,
Cristian Tello,"€ 20,000","€ 1,040,000","€ 1,040,000",F,30,Spain,Real Betis,2021-2022,la-liga,,,,,,,,,,
Enis Bardhi,"€ 19,615","€ 1,020,000","€ 1,020,000",F,26,North Macedonia,Levante,2021-2022,la-liga,,,,,,,,,,
Didac Vila,"€ 19,423","€ 1,010,000","€ 1,010,000",D,32,Spain,Espanyol,2021-2022,la-liga,,,,,,,,,,
Aitor Fernandez,"€ 19,231","€ 1,000,000","€ 1,000,000",K,30,Spain,Levante,2021-2022,la-liga,,,,,,,,,,
Jon Moncayola,"€ 19,231","€ 1,000,000","€ 1,000,000",M,23,Spain,Osasuna,2021-2022,la-liga,,,,,,,,,,
Takefusa Kubo,"€ 19,231","€ 1,000,000","€ 1,000,000",F,20,Japan,Mallorca,2021-2022,la-liga,,,,,,,,,,
Mikel Vesga,"€ 19,231","€ 1,000,000","€ 1,000,000",M,28,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Aleix Vidal,"€ 19,231","€ 1,000,000","€ 1,000,000",D,32,Spain,Espanyol,2021-2022,la-liga,,,,,,,,,,
Lucas Olaza,"€ 19,231","€ 1,000,000","€ 1,000,000",D,27,Uruguay,Elche,2021-2022,la-liga,,,,,,,,,,
Jon Guridi,"€ 19,231","€ 1,000,000","€ 1,000,000",M,26,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Carlos Fernandez,"€ 19,231","€ 1,000,000","€ 1,000,000",F,25,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Oier Olazabal,"€ 19,038","€ 990,000","€ 990,000",K,32,Spain,Espanyol,2021-2022,la-liga,,,,,,,,,,
Pablo Maffeo,"€ 18,846","€ 980,000","€ 980,000",D,24,Spain,Mallorca,2021-2022,la-liga,,,,,,,,,,
Nikola Vukcevic,"€ 18,462","€ 960,000","€ 960,000",M,30,Montenegro,Levante,2021-2022,la-liga,,,,,,,,,,
Sergio Herrera,"€ 18,269","€ 950,000","€ 950,000",K,28,Spain,Osasuna,2021-2022,la-liga,,,,,,,,,,
Johan Mojica,"€ 17,885","€ 930,000","€ 930,000",D,29,Colombia,Elche,2021-2022,la-liga,,,,,,,,,,
Santiago Arias,"€ 17,692","€ 920,000","€ 920,000",D,30,Colombia,Granada,2021-2022,la-liga,,,,,,,,,,
Matt Miazga,"€ 17,500","€ 910,000","€ 910,000",D,26,United States,Alaves,2021-2022,la-liga,,,,,,,,,,
Joel Robles,"€ 17,308","€ 900,000","€ 900,000",K,31,Spain,Real Betis,2021-2022,la-liga,,,,,,,,,,
Andoni Gorosabel,"€ 17,308","€ 900,000","€ 900,000",D,25,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Luis Abram,"€ 17,308","€ 900,000","€ 900,000",D,25,Peru,Granada,2021-2022,la-liga,,,,,,,,,,
Mikel Balenziaga,"€ 17,308","€ 900,000","€ 900,000",D,33,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Rui Silva,"€ 17,308","€ 900,000","€ 900,000",K,27,Portugal,Real Betis,2021-2022,la-liga,,,,,,,,,,
Victor Camarasa,"€ 17,115","€ 890,000","€ 890,000",M,27,Spain,Real Betis,2021-2022,la-liga,,,,,,,,,,
Uros Racic,"€ 16,923","€ 880,000","€ 880,000",M,23,Serbia,Valencia,2021-2022,la-liga,,,,,,,,,,
Nacho Vidal,"€ 16,731","€ 870,000","€ 870,000",D,27,Spain,Osasuna,2021-2022,la-liga,,,,,,,,,,
Ander Guevara,"€ 16,731","€ 870,000","€ 870,000",M,24,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Enes Unal,"€ 16,538","€ 860,000","€ 860,000",F,24,Turkey,Getafe,2021-2022,la-liga,,,,,,,,,,
Aihen Munoz,"€ 16,538","€ 860,000","€ 860,000",D,24,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Fernando Pacheco,"€ 16,346","€ 850,000","€ 850,000",K,29,Spain,Alaves,2021-2022,la-liga,,,,,,,,,,
Youssouf Sabaly,"€ 16,346","€ 850,000","€ 850,000",D,28,Senegal,Real Betis,2021-2022,la-liga,,,,,,,,,,
Ivan Saponjic,"€ 16,154","€ 840,000","€ 840,000",F,24,Serbia,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Orbelin Pineda,"€ 16,154","€ 840,000","€ 840,000",F,25,Mexico,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
Leandro Cabrera,"€ 16,154","€ 840,000","€ 840,000",D,30,Uruguay,Espanyol,2021-2022,la-liga,,,,,,,,,,
Jeremias Ledesma,"€ 16,154","€ 840,000","€ 840,000",K,28,Argentina,Cadiz,2021-2022,la-liga,,,,,,,,,,
Jens Jonsson,"€ 16,154","€ 840,000","€ 840,000",M,29,Denmark,Cadiz,2021-2022,la-liga,,,,,,,,,,
Tomas Alarcon,"€ 15,962","€ 830,000","€ 830,000",M,23,Chile,Cadiz,2021-2022,la-liga,,,,,,,,,,
Lucas Perez,"€ 15,962","€ 830,000","€ 830,000",F,32,Spain,Elche,2021-2022,la-liga,,,,,,,,,,
Omar Mascarell,"€ 15,769","€ 820,000","€ 820,000",M,29,Spain,Elche,2021-2022,la-liga,,,,,,,,,,
Luis Rioja,"€ 15,769","€ 820,000","€ 820,000",F,28,Spain,Alaves,2021-2022,la-liga,,,,,,,,,,
Iddrisu Baba,"€ 15,769","€ 820,000","€ 820,000",M,26,Ghana,Mallorca,2021-2022,la-liga,,,,,,,,,,
Loren Moron,"€ 15,577","€ 810,000","€ 810,000",F,28,Spain,Espanyol,2021-2022,la-liga,,,,,,,,,,
Luis Suarez,"€ 15,385","€ 800,000","€ 800,000",F,24,Colombia,Granada,2021-2022,la-liga,,,,,,,,,,
Ante Budimir,"€ 15,385","€ 800,000","€ 800,000",F,30,Croatia,Osasuna,2021-2022,la-liga,,,,,,,,,,
David Garcia,"€ 15,385","€ 800,000","€ 800,000",D,27,Spain,Osasuna,2021-2022,la-liga,,,,,,,,,,
Reinildo Mandava,"€ 15,385","€ 800,000","€ 800,000",D,28,Mozambique,Atletico Madrid,2021-2022,la-liga,,,,,,,,,,
Mouctar Diakhaby,"€ 15,385","€ 800,000","€ 800,000",D,25,France,Valencia,2021-2022,la-liga,,,,,,,,,,
Giovanni Gonzalez,"€ 15,385","€ 800,000","€ 800,000",D,27,Uruguay,Mallorca,2021-2022,la-liga,,,,,,,,,,
Fran Merida,"€ 15,192","€ 790,000","€ 790,000",M,31,Spain,Espanyol,2021-2022,la-liga,,,,,,,,,,
Miguel Baeza,"€ 15,000","€ 780,000","€ 780,000",F,21,Spain,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
Adama Traore,"€ 15,000","€ 780,000","€ 780,000",F,26,Spain,Barcelona,2021-2022,la-liga,,,,,,,,,,
Antonio Raillo,"€ 15,000","€ 780,000","€ 780,000",D,30,Spain,Mallorca,2021-2022,la-liga,,,,,,,,,,
Manu Sanchez,"€ 15,000","€ 780,000","€ 780,000",D,21,Spain,Osasuna,2021-2022,la-liga,,,,,,,,,,
Aleix Febas,"€ 14,615","€ 760,000","€ 760,000",M,25,Spain,Mallorca,2021-2022,la-liga,,,,,,,,,,
Koba Koindredi,"€ 14,615","€ 760,000","€ 760,000",M,20,Neukaledonien,Valencia,2021-2022,la-liga,,,,,,,,,,
Giorgi Mamardashvili,"€ 14,615","€ 760,000","€ 760,000",K,21,Georgia,Valencia,2021-2022,la-liga,,,,,,,,,,
Martin Caceres,"€ 14,423","€ 750,000","€ 750,000",D,34,Uruguay,Levante,2021-2022,la-liga,,,,,,,,,,
Ruben Vezo,"€ 14,423","€ 750,000","€ 750,000",D,27,Portugal,Levante,2021-2022,la-liga,,,,,,,,,,
Ruben Alcaraz,"€ 14,423","€ 750,000","€ 750,000",M,30,Spain,Cadiz,2021-2022,la-liga,,,,,,,,,,
Tonny Vilhena,"€ 14,423","€ 750,000","€ 750,000",M,27,Netherlands,Espanyol,2021-2022,la-liga,,,,,,,,,,
Sandro Ramirez,"€ 14,423","€ 750,000","€ 750,000",F,26,Spain,Getafe,2021-2022,la-liga,,,,,,,,,,
Lucas Torro,"€ 14,423","€ 750,000","€ 750,000",M,27,Spain,Osasuna,2021-2022,la-liga,,,,,,,,,,
Luis Maximiano,"€ 14,231","€ 740,000","€ 740,000",K,23,Portugal,Granada,2021-2022,la-liga,,,,,,,,,,
Roberto Torres,"€ 13,654","€ 710,000","€ 710,000",F,32,Spain,Osasuna,2021-2022,la-liga,,,,,,,,,,
Roberto Soldado,"€ 13,654","€ 710,000","€ 710,000",F,36,Spain,Levante,2021-2022,la-liga,,,,,,,,,,
Martin Valjent,"€ 13,462","€ 700,000","€ 700,000",D,26,Slovakia,Mallorca,2021-2022,la-liga,,,,,,,,,,
Ruben Sobrino,"€ 13,462","€ 700,000","€ 700,000",F,29,Spain,Cadiz,2021-2022,la-liga,,,,,,,,,,
Roger Marti,"€ 13,462","€ 700,000","€ 700,000",F,31,Spain,Levante,2021-2022,la-liga,,,,,,,,,,
Moi Gomez,"€ 13,462","€ 700,000","€ 700,000",F,27,Spain,Villarreal,2021-2022,la-liga,,,,,,,,,,
Angel Montoro,"€ 13,462","€ 700,000","€ 700,000",M,33,Spain,Granada,2021-2022,la-liga,,,,,,,,,,
Alex Moreno,"€ 13,077","€ 680,000","€ 680,000",D,28,Spain,Real Betis,2021-2022,la-liga,,,,,,,,,,
Jonas Ramalho,"€ 13,077","€ 680,000","€ 680,000",D,28,Angola,Osasuna,2021-2022,la-liga,,,,,,,,,,
Coke,"€ 13,077","€ 680,000","€ 680,000",D,34,Spain,Levante,2021-2022,la-liga,,,,,,,,,,
Nemanja Radoja,"€ 13,077","€ 680,000","€ 680,000",M,28,Serbia,Levante,2021-2022,la-liga,,,,,,,,,,
Jakub Jankto,"€ 12,885","€ 670,000","€ 670,000",M,26,Czech Republic,Getafe,2021-2022,la-liga,,,,,,,,,,
Augusto Solari,"€ 12,692","€ 660,000","€ 660,000",F,30,Argentina,Celta Vigo,2021-2022,la-liga,,,,,,,,,,
David Timor,"€ 12,692","€ 660,000","€ 660,000",M,31,Spain,Getafe,2021-2022,la-liga,,,,,,,,,,
Stole Dimitrievski,"€ 12,692","€ 660,000","€ 660,000",K,28,North Macedonia,Rayo Vallecano,2021-2022,la-liga,,,,,,,,,,
Inigo Ruiz de Galarreta,"€ 12,692","€ 660,000","€ 660,000",M,28,Spain,Mallorca,2021-2022,la-liga,,,,,,,,,,
Jose Angel,"€ 12,500","€ 650,000","€ 650,000",D,32,Spain,Osasuna,2021-2022,la-liga,,,,,,,,,,
Oscar Melendo,"€ 12,500","€ 650,000","€ 650,000",F,24,Spain,Espanyol,2021-2022,la-liga,,,,,,,,,,
Franco Russo,"€ 12,500","€ 650,000","€ 650,000",D,27,Argentina,Mallorca,2021-2022,la-liga,,,,,,,,,,
Juan Perez,"€ 12,500","€ 650,000","€ 650,000",K,25,Spain,Osasuna,2021-2022,la-liga,,,,,,,,,,
Edgar Badia,"€ 12,500","€ 650,000","€ 650,000",K,29,Spain,Elche,2021-2022,la-liga,,,,,,,,,,
Ander Barrenetxea,"€ 12,500","€ 650,000","€ 650,000",F,20,Spain,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Robin Le Normand,"€ 12,500","€ 650,000","€ 650,000",D,25,France,Real Sociedad,2021-2022,la-liga,,,,,,,,,,
Victor Laguardia,"€ 12,500","€ 650,000","€ 650,000",D,32,Spain,Alaves,2021-2022,la-liga,,,,,,,,,,
Antonio Puertas,"€ 12,308","€ 640,000","€ 640,000",F,29,Spain,Granada,2021-2022,la-liga,,,,,,,,,,
German Sanchez,"€ 12,308","€ 640,000","€ 640,000",D,35,Spain,Granada,2021-2022,la-liga,,,,,,,,,,
Carles Alena,"€ 12,115","€ 630,000","€ 630,000",M,24,Spain,Getafe,2021-2022,la-liga,,,,,,,,,,
Kike Garcia,"€ 11,923","€ 620,000","€ 620,000",F,32,Spain,Osasuna,2021-2022,la-liga,,,,,,,,,,
Mathias Olivera,"€ 11,923","€ 620,000","€ 620,000",D,24,Uruguay,Getafe,2021-2022,la-liga,,,,,,,,,,
Allan Nyom,"€ 11,923","€ 620,000","€ 620,000",D,33,Cameroon,Getafe,2021-2022,la-liga,,,,,,,,,,
Fidel,"€ 11,923","€ 620,000","€ 620,000",F,32,Spain,Elche,2021-2022,la-liga,,,,,,,,,,
Darko Brasanac,"€ 11,923","€ 620,000","€ 620,000",M,29,Serbia,Osasuna,2021-2022,la-liga,,,,,,,,,,
Alvaro Vadillo,"€ 11,923","€ 620,000","€ 620,000",F,26,Spain,Espanyol,2021-2022,la-liga,,,,,,,,,,
Damian Suarez,"€ 11,923","€ 620,000","€ 620,000",D,33,Uruguay,Getafe,2021-2022,la-liga,,,,,,,,,,
Choco Lozano,"€ 11,923","€ 620,000","€ 620,000",F,28,Honduras,Cadiz,2021-2022,la-liga,,,,,,,,,,
Myrto Uzuni,"€ 11,538","€ 600,000","€ 600,000",F,26,Albania,Granada,2021-2022,la-liga,,,,,,,,,,
Oihan Sancet,"€ 11,538","€ 600,000","€ 600,000",F,21,Spain,Athletic Club,2021-2022,la-liga,,,,,,,,,,
Aitor Ruibal,"€ 11,538","€ 600,000","€ 600,000",F,25,Spain,Real Betis,2021-2022,la-liga,,,,,,,,,,
Nico Gonzalez,"€ 11,538","€ 600,000","€ 600,000",M,20,Spain,Barcelona,2021-2022,la-liga,,,,,,,,,,
Hernani,"€ 11,346","€ 590,000","€ 590,000",F,30,Portugal,Levante,2021-2022,la-liga,,,,,,,,,,
Juan Cala,"€ 11,154","€ 580,000","€ 580,000",D,32,Spain,Cadiz,2021-2022,la-liga,,,,,,,,,,
Alberto Soro,"€ 11,154","€ 580,000","€ 580,000",F,22,Spain,Granada,2021-2022,la-liga,,,,,,,,,,
Ruben Duarte,"€ 10,962","€ 570,000","€ 570,000",D,26,Spain,Alaves,2021-2022,la-liga,,,,,,,,,,
Martin Merquelanz,"€ 10,769","€ 560,000","€ 560,000",F,26,Spain,Rayo Vallecano,2021-2022,la-liga,,,,,,,,,,
